description,hit_id,targ_id,target_len,hit_score,hit_evalue,hit_bias,hsp_len,hsp_score,hsp_evalue_cond,hsp_evalue_ind,hsp_bias,output_table
Acidaminococcus-intestini-D21-MAF-2_cysK,1_530/22-304,1_530,405,74.6,8.7e-22,2.0,283,74.1,2.3e-24,1.3e-21,2.0,workflow/out/cysK/hmmer_output/Acidaminococcus-intestini-D21-MAF-2_cysK.domtblout
Acidaminococcus-intestini-D21-MAF-2_cysK,1_1879/68-232,1_1879,395,43.7,2.3e-12,0.3,165,23.0,8.4e-09,4.5e-06,0.0,workflow/out/cysK/hmmer_output/Acidaminococcus-intestini-D21-MAF-2_cysK.domtblout
Acidaminococcus-intestini-D21-MAF-2_cysK,1_1879/322-379,1_1879,395,43.7,2.3e-12,0.3,58,18.8,1.6e-07,8.7e-05,0.0,workflow/out/cysK/hmmer_output/Acidaminococcus-intestini-D21-MAF-2_cysK.domtblout
Acidaminococcus-intestini-D21-MAF-2_cysK,1_692/100-263,1_692,389,37.0,2.4e-10,0.2,164,36.5,6.7e-13,3.6e-10,0.2,workflow/out/cysK/hmmer_output/Acidaminococcus-intestini-D21-MAF-2_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_2194/7-307,NZ_AP021898.1_2194,310,452.0,1.1e-136,0.1,301,451.8,2.6e-139,1.2e-136,0.1,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_1415/7-308,NZ_AP021898.1_1415,310,440.7,3e-133,0.5,302,440.6,7e-136,3.4e-133,0.5,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_640/42-309,NZ_AP021898.1_640,539,44.8,1.2e-12,0.0,268,44.1,3.9e-15,1.9e-12,0.0,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_1883/79-184,NZ_AP021898.1_1883,408,22.7,6.2e-06,0.0,106,14.0,6.1e-06,0.0029,0.0,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_1883/333-380,NZ_AP021898.1_1883,408,22.7,6.2e-06,0.0,48,6.8,0.00093,0.45,0.0,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_1652/92-174,NZ_AP021898.1_1652,391,19.9,4.5e-05,0.1,83,12.0,2.4e-05,0.012,0.1,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Akkermansia_muciniphila_cysK,NZ_AP021898.1_1652/325-379,NZ_AP021898.1_1652,391,19.9,4.5e-05,0.1,55,5.8,0.0019,0.9,0.0,workflow/out/cysK/hmmer_output/Akkermansia_muciniphila_cysK.domtblout
Alistipes-ihumii-AP11-MAF-2_cysK,1_2020/90-389,1_2020,397,443.5,4.2e-134,0.0,300,443.2,4.4e-137,5e-134,0.0,workflow/out/cysK/hmmer_output/Alistipes-ihumii-AP11-MAF-2_cysK.domtblout
Alistipes-ihumii-AP11-MAF-2_cysK,1_2106/83-411,1_2106,456,43.9,2.1e-12,0.0,329,40.5,1.9e-14,2.2e-11,0.0,workflow/out/cysK/hmmer_output/Alistipes-ihumii-AP11-MAF-2_cysK.domtblout
Alistipes-indistinctus-YIT-12060-MAF-2_cysK,1_1286/9-308,1_1286,316,451.9,1.2e-136,0.3,300,451.7,1.7e-139,1.3e-136,0.3,workflow/out/cysK/hmmer_output/Alistipes-indistinctus-YIT-12060-MAF-2_cysK.domtblout
Alistipes-indistinctus-YIT-12060-MAF-2_cysK,1_1844/82-413,1_1844,453,50.2,2.5e-14,0.1,332,46.6,4.2e-16,3.3e-13,0.1,workflow/out/cysK/hmmer_output/Alistipes-indistinctus-YIT-12060-MAF-2_cysK.domtblout
Alistipes-indistinctus-YIT-12060-MAF-2_cysK,1_590/62-260,1_590,396,40.2,2.8e-11,0.0,199,27.9,2.1e-10,1.6e-07,0.0,workflow/out/cysK/hmmer_output/Alistipes-indistinctus-YIT-12060-MAF-2_cysK.domtblout
Alistipes-indistinctus-YIT-12060-MAF-2_cysK,1_590/325-386,1_590,396,40.2,2.8e-11,0.0,62,10.1,5.3e-05,0.042,0.0,workflow/out/cysK/hmmer_output/Alistipes-indistinctus-YIT-12060-MAF-2_cysK.domtblout
Alistipes-onderdonkii-DSM-19147-MAF-2_cysK,1_588/9-296,1_588,302,311.6,8.5e-94,0.2,288,311.3,6.5e-97,1e-93,0.2,workflow/out/cysK/hmmer_output/Alistipes-onderdonkii-DSM-19147-MAF-2_cysK.domtblout
Alistipes-onderdonkii-DSM-19147-MAF-2_cysK,1_2998/80-401,1_2998,454,40.5,3.1e-11,0.0,322,36.4,3.5e-13,5.6e-10,0.0,workflow/out/cysK/hmmer_output/Alistipes-onderdonkii-DSM-19147-MAF-2_cysK.domtblout
Alistipes-putredinis-DSM-17216-MAF-2_cysK,1_2024/79-405,1_2024,454,41.4,1.2e-11,0.0,327,35.9,2.6e-13,6.1e-10,0.0,workflow/out/cysK/hmmer_output/Alistipes-putredinis-DSM-17216-MAF-2_cysK.domtblout
Alistipes-senegalensis-JC50-MAF-2_cysK,1_1928/9-308,1_1928,320,431.7,2.2e-130,0.1,300,431.5,2.4e-133,2.5e-130,0.1,workflow/out/cysK/hmmer_output/Alistipes-senegalensis-JC50-MAF-2_cysK.domtblout
Alistipes-senegalensis-JC50-MAF-2_cysK,1_2948/80-318,1_2948,454,39.1,8.1e-11,0.0,239,35.2,1.2e-12,1.3e-09,0.0,workflow/out/cysK/hmmer_output/Alistipes-senegalensis-JC50-MAF-2_cysK.domtblout
Alistipes-senegalensis-JC50-MAF-2_cysK,1_1715/67-366,1_1715,401,27.1,3.9e-07,1.3,300,20.8,3e-08,3.1e-05,1.3,workflow/out/cysK/hmmer_output/Alistipes-senegalensis-JC50-MAF-2_cysK.domtblout
Alistipes-shahii-WAL-8301-MAF-2_cysK,1_853/9-296,1_853,302,313.4,2.4e-94,0.4,288,313.1,1.8e-97,2.9e-94,0.4,workflow/out/cysK/hmmer_output/Alistipes-shahii-WAL-8301-MAF-2_cysK.domtblout
Alistipes-shahii-WAL-8301-MAF-2_cysK,1_3021/80-318,1_3021,454,37.6,2.5e-10,0.0,239,33.7,2.4e-12,3.8e-09,0.0,workflow/out/cysK/hmmer_output/Alistipes-shahii-WAL-8301-MAF-2_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000003.1_77/11-308,NZ_QSID01000003.1_77,311,455.3,1.3e-137,1.8,298,455.2,3.5e-140,1.5e-137,1.8,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000021.1_47/8-308,NZ_QSID01000021.1_47,310,454.7,2.1e-137,1.8,301,454.5,5.6e-140,2.4e-137,1.8,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000015.1_81/21-303,NZ_QSID01000015.1_81,410,77.5,1.6e-22,1.2,283,76.5,7.6e-25,3.3e-22,1.2,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000006.1_127/53-253,NZ_QSID01000006.1_127,391,41.9,1.1e-11,1.9,201,18.6,3.3e-07,0.00014,0.6,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000006.1_127/322-378,NZ_QSID01000006.1_127,391,41.9,1.1e-11,1.9,57,22.4,2.3e-08,9.8e-06,0.0,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000001.1_95/86-414,NZ_QSID01000001.1_95,459,40.5,2.9e-11,0.0,329,35.3,2.7e-12,1.2e-09,0.0,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000010.1_14/116-186,NZ_QSID01000010.1_14,404,15.5,0.0012,0.0,71,14.8,4.7e-06,0.002,0.0,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerobutyricum_hallii_cysK,NZ_QSID01000012.1_68/123-169,NZ_QSID01000012.1_68,497,13.8,0.0041,0.1,47,12.4,2.5e-05,0.011,0.1,workflow/out/cysK/hmmer_output/Anaerobutyricum_hallii_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_1448/9-308,1_1448,310,470.6,3.3e-142,0.7,300,470.5,7.6e-145,3.7e-142,0.7,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_2180/20-299,1_2180,406,73.4,3.2e-21,2.1,280,73.2,7.5e-24,3.7e-21,0.9,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_2620/69-256,1_2620,397,40.2,4.1e-11,3.1,188,20.6,8.1e-08,4e-05,0.8,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_2620/322-379,1_2620,397,40.2,4.1e-11,3.1,58,19.8,1.4e-07,6.8e-05,0.1,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_1621/79-189,1_1621,405,28.7,1.3e-07,0.3,111,16.3,1.6e-06,0.00079,0.0,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_1621/335-382,1_1621,405,28.7,1.3e-07,0.3,48,10.1,0.00012,0.06,0.0,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_2346/115-186,1_2346,402,15.3,0.0016,0.1,72,14.6,5.2e-06,0.0026,0.1,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_93/160-260,1_93,349,13.6,0.0055,0.0,101,13.0,1.6e-05,0.0081,0.0,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_cysK,1_946/123-184,1_946,496,13.3,0.0066,0.1,62,12.3,2.7e-05,0.013,0.1,workflow/out/cysK/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_cysK.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK,1_2350/10-308,1_2350,311,474.5,2.2e-143,0.5,299,474.3,4.4e-146,2.6e-143,0.5,workflow/out/cysK/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK,1_497/52-346,1_497,354,434.1,4.5e-131,0.2,295,433.9,8.9e-134,5.2e-131,0.2,workflow/out/cysK/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK,1_2079/18-300,1_2079,400,69.5,5.1e-20,1.4,283,69.0,1.2e-22,7.2e-20,1.4,workflow/out/cysK/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK,1_1686/91-411,1_1686,459,28.0,2.3e-07,0.0,321,21.2,4.4e-08,2.6e-05,0.0,workflow/out/cysK/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK,1_544/170-316,1_544,454,26.9,4.8e-07,0.0,147,24.3,5.1e-09,3e-06,0.0,workflow/out/cysK/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK,1_696/116-186,1_696,405,17.0,0.00051,0.0,71,16.2,1.5e-06,0.00086,0.0,workflow/out/cysK/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_cysK.domtblout
Bacteroides-caccae-ATCC-43185-MAF-2_cysK,1_630/9-308,1_630,316,461.7,1.9e-139,0.4,300,461.5,3e-142,2.2e-139,0.4,workflow/out/cysK/hmmer_output/Bacteroides-caccae-ATCC-43185-MAF-2_cysK.domtblout
Bacteroides-caccae-ATCC-43185-MAF-2_cysK,1_3381/9-308,1_3381,317,428.3,2.8e-129,0.4,300,428.1,4.3e-132,3.2e-129,0.4,workflow/out/cysK/hmmer_output/Bacteroides-caccae-ATCC-43185-MAF-2_cysK.domtblout
Bacteroides-caccae-ATCC-43185-MAF-2_cysK,1_1815/82-413,1_1815,457,40.2,4.6e-11,0.0,332,36.0,1.2e-12,8.5e-10,0.0,workflow/out/cysK/hmmer_output/Bacteroides-caccae-ATCC-43185-MAF-2_cysK.domtblout
Bacteroides-caccae-ATCC-43185-MAF-2_cysK,1_2833/68-383,1_2833,399,38.8,1.2e-10,1.6,316,31.3,3.2e-11,2.4e-08,1.6,workflow/out/cysK/hmmer_output/Bacteroides-caccae-ATCC-43185-MAF-2_cysK.domtblout
Bacteroides-caccae-ATCC-43185-MAF-2_cysK,1_1817/37-127,1_1817,229,19.4,9.9e-05,0.1,91,18.9,1.9e-07,0.00014,0.1,workflow/out/cysK/hmmer_output/Bacteroides-caccae-ATCC-43185-MAF-2_cysK.domtblout
Bacteroides-cellulosilyticus-DSM-14838-MAF-2_cysK,1_1270/9-308,1_1270,316,455.1,2.6e-137,0.6,300,454.9,3.6e-140,3e-137,0.6,workflow/out/cysK/hmmer_output/Bacteroides-cellulosilyticus-DSM-14838-MAF-2_cysK.domtblout
Bacteroides-cellulosilyticus-DSM-14838-MAF-2_cysK,1_4896/9-308,1_4896,317,434.9,3.9e-131,0.2,300,434.7,5.3e-134,4.4e-131,0.2,workflow/out/cysK/hmmer_output/Bacteroides-cellulosilyticus-DSM-14838-MAF-2_cysK.domtblout
Bacteroides-cellulosilyticus-DSM-14838-MAF-2_cysK,1_2907/113-444,1_2907,487,45.5,1.5e-12,0.0,332,41.5,3e-14,2.5e-11,0.0,workflow/out/cysK/hmmer_output/Bacteroides-cellulosilyticus-DSM-14838-MAF-2_cysK.domtblout
